[*] Computing DDT
[+] DDT Computed
DDT took 315.152751ms
Iter#1 New set #1 of size 34 (1.0 its/hit = 0.000s/hit): seed=734713444413843910 [0, 301, 339, 527, 800, 856, 926, 962, 1044, 1118, 1162, 1305, 1426, 1497, 1506, 1618, 1917, 2004, 2213, 2267, 2376, 2467, 2555, 2746, 2885, 2989, 3061, 3516, 3556, 3642, 3797, 4017, 4018, 4074]
Iter#1095447 New set #4000 of size 43 (273.9 its/hit = 0.094s/hit): seed=17633027860982032967 [0, 11, 32, 44, 52, 216, 237, 289, 533, 768, 828, 863, 1150, 1158, 1300, 1413, 1540, 1745, 1839, 1986, 2113, 2193, 2220, 2235, 2257, 2299, 2393, 2475, 2573, 2747, 2853, 3037, 3219, 3255, 3287, 3490, 3734, 3950, 3963, 3971, 4009, 4035, 4073]
Iter#1374067 New set #5000 of size 43 (274.8 its/hit = 0.094s/hit): seed=4206404940717574129 [0, 41, 55, 137, 226, 338, 347, 405, 435, 535, 554, 760, 849, 943, 1184, 1249, 1337, 1499, 1625, 1699, 1812, 1839, 2008, 2107, 2126, 2268, 2612, 2746, 2804, 2828, 2830, 2910, 3054, 3218, 3278, 3543, 3637, 3642, 3676, 3799, 3856, 3864, 3942]
Iter#1655159 New set #6000 of size 43 (275.9 its/hit = 0.094s/hit): seed=12708011383248793844 [0, 71, 240, 536, 586, 609, 833, 959, 1007, 1012, 1038, 1125, 1427, 1444, 1448, 1464, 1513, 1542, 1602, 1674, 1767, 1800, 1894, 1923, 2207, 2228, 2392, 2421, 2707, 2898, 2907, 2994, 3067, 3110, 3325, 3421, 3530, 3564, 3747, 3762, 3910, 3949, 4091]
Iter#1931035 New set #7000 of size 43 (275.9 its/hit = 0.094s/hit): seed=11544897054893082291 [0, 20, 118, 129, 264, 293, 338, 574, 585, 614, 762, 772, 775, 791, 1028, 1102, 1112, 1157, 1163, 1338, 1525, 1667, 1869, 1918, 2155, 2280, 2292, 2327, 2454, 2529, 2701, 2709, 2810, 3090, 3093, 3347, 3435, 3474, 3532, 3567, 3786, 3791, 4008]
Iter#2200020 New set #8000 of size 43 (275.0 its/hit = 0.094s/hit): seed=15837516768873419213 [0, 34, 346, 382, 495, 726, 838, 842, 1038, 1043, 1065, 1152, 1384, 1469, 1528, 1590, 1631, 1674, 1676, 1733, 2157, 2268, 2318, 2468, 2488, 2747, 2845, 2870, 3084, 3198, 3243, 3334, 3351, 3429, 3632, 3650, 3654, 3752, 3803, 3883, 3913, 3929, 3996]
Iter#2473641 New set #9000 of size 43 (274.8 its/hit = 0.094s/hit): seed=5664847197479525801 [0, 86, 155, 302, 313, 437, 519, 570, 603, 607, 704, 765, 885, 886, 1006, 1094, 1135, 1573, 1698, 1722, 1785, 1812, 1983, 2393, 2438, 2702, 2720, 2832, 2872, 2935, 3048, 3110, 3331, 3390, 3519, 3524, 3577, 3820, 3853, 3881, 3930, 3986, 4063]
Iter#2760107 New set #10000 of size 43 (276.0 its/hit = 0.094s/hit): seed=2522159608331333665 [0, 49, 154, 465, 534, 543, 610, 944, 1032, 1106, 1114, 1437, 1452, 1487, 1504, 1608, 1711, 1789, 1809, 1850, 1896, 1927, 2044, 2071, 2086, 2122, 2356, 2429, 2437, 2569, 2640, 2676, 2901, 2975, 3057, 3194, 3448, 3466, 3467, 3515, 3574, 3830, 3865]
Iter#5579810 New set #20000 of size 43 (279.0 its/hit = 0.095s/hit): seed=1199807834416118654 [0, 29, 133, 198, 405, 483, 508, 641, 723, 740, 777, 815, 829, 1010, 1030, 1055, 1503, 1661, 1880, 1896, 2489, 2584, 2749, 2766, 2968, 3009, 3078, 3128, 3146, 3243, 3295, 3322, 3363, 3409, 3588, 3596, 3639, 3668, 3702, 3871, 3949, 4031, 4080]
Iter#8430199 New set #30000 of size 43 (281.0 its/hit = 0.096s/hit): seed=12578576812233911985 [0, 52, 162, 250, 274, 394, 438, 525, 548, 805, 988, 993, 1052, 1110, 1185, 1439, 1474, 1562, 1612, 1780, 1828, 1850, 1975, 1998, 2051, 2181, 2227, 2605, 2965, 2991, 2995, 3042, 3157, 3435, 3453, 3543, 3822, 3834, 3939, 3955, 4020, 4048, 4050]
Iter#11188440 New set #40000 of size 43 (279.7 its/hit = 0.096s/hit): seed=13583751436829295296 [0, 172, 245, 251, 533, 643, 772, 799, 979, 982, 1122, 1293, 1398, 1415, 1441, 1611, 1865, 1903, 2009, 2256, 2257, 2274, 2294, 2337, 2521, 2590, 2606, 2611, 2616, 2690, 2729, 2902, 2945, 3213, 3364, 3467, 3571, 3733, 3875, 3926, 3943, 3983, 4083]
Iter#13970556 New set #50000 of size 43 (279.4 its/hit = 0.097s/hit): seed=14810445277638523532 [0, 35, 87, 102, 138, 197, 384, 679, 810, 862, 1021, 1276, 1305, 1309, 1344, 1470, 1557, 1573, 1607, 1670, 1832, 1950, 2028, 2213, 2292, 2521, 2670, 2823, 2848, 2967, 3067, 3202, 3353, 3387, 3407, 3516, 3634, 3654, 3804, 3810, 3877, 3926, 4039]
Iter#16793930 New set #60000 of size 43 (279.9 its/hit = 0.100s/hit): seed=5171815536215514571 [0, 371, 383, 466, 575, 581, 626, 661, 765, 828, 1029, 1062, 1312, 1367, 1369, 1428, 1595, 1612, 1617, 1638, 1726, 1750, 2011, 2024, 2080, 2226, 2671, 2716, 2723, 2731, 2734, 2763, 2911, 3025, 3271, 3429, 3475, 3556, 3720, 3775, 3808, 3839, 4087]
Iter#19573668 New set #70000 of size 43 (279.6 its/hit = 0.101s/hit): seed=11648587907717715037 [0, 185, 239, 240, 248, 323, 325, 345, 473, 732, 758, 769, 774, 793, 925, 981, 1089, 1118, 1190, 1218, 1553, 1562, 1670, 1746, 1960, 1975, 1985, 2238, 2432, 2538, 2591, 2610, 2821, 2981, 3069, 3229, 3341, 3513, 3842, 3893, 3906, 3931, 4003]
Iter#22371649 New set #80000 of size 43 (279.6 its/hit = 0.103s/hit): seed=13241404385927741742 [0, 65, 98, 160, 181, 225, 432, 720, 816, 861, 937, 1087, 1226, 1276, 1339, 1645, 1750, 1781, 1870, 2142, 2264, 2479, 2507, 2846, 2877, 2906, 2985, 3238, 3285, 3341, 3364, 3404, 3436, 3446, 3465, 3480, 3498, 3501, 3564, 3696, 3716, 4055, 4071]
Iter#25166145 New set #90000 of size 43 (279.6 its/hit = 0.104s/hit): seed=3398903597457890620 [0, 56, 191, 209, 210, 217, 313, 372, 416, 653, 693, 862, 964, 1048, 1056, 1121, 1166, 1224, 1407, 1535, 1549, 1685, 1709, 1726, 1730, 1770, 1947, 2205, 2257, 2367, 2422, 2485, 2779, 2810, 2814, 2833, 3033, 3238, 3341, 3380, 3756, 3829, 3937]
Iter#27881250 New set #100000 of size 43 (278.8 its/hit = 0.104s/hit): seed=12705287165692278559 [0, 340, 364, 465, 554, 705, 730, 979, 1179, 1183, 1184, 1233, 1562, 1569, 1605, 1636, 1688, 1761, 1889, 1916, 2105, 2137, 2146, 2382, 2613, 2662, 2776, 2787, 2842, 2851, 3061, 3238, 3315, 3414, 3539, 3665, 3680, 3708, 3766, 3934, 3958, 4000, 4008]
